Prediction,Store,Date
4686.7983,1,2015-08-01
48.47757,1,2015-08-02
6748.783,1,2015-08-03
5944.736,1,2015-08-04
5459.871,1,2015-08-05
5754.886,1,2015-08-06
5785.2847,1,2015-08-07
4476.0176,1,2015-08-08
182.95744,1,2015-08-09
2918.8508,1,2015-08-10
3095.6345,1,2015-08-11
3478.7227,1,2015-08-12
3340.214,1,2015-08-13
5163.978,1,2015-08-14
4522.99,1,2015-08-15
180.44603,1,2015-08-16
6400.6133,1,2015-08-17
6455.848,1,2015-08-18
7444.5034,1,2015-08-19
7463.106,1,2015-08-20
8537.112,1,2015-08-21
5214.334,1,2015-08-22
204.07765,1,2015-08-23
4215.38,1,2015-08-24
4712.7876,1,2015-08-25
5332.9062,1,2015-08-26
5205.6855,1,2015-08-27
7296.1475,1,2015-08-28
5210.9097,1,2015-08-29
652.65356,1,2015-08-30
12267.225,1,2015-08-31
11446.67,1,2015-09-01
10526.061,1,2015-09-02
10760.721,1,2015-09-03
14505.254,1,2015-09-04
7515.855,1,2015-09-05
348.2374,1,2015-09-06
5687.6006,1,2015-09-07
5311.8687,1,2015-09-08
5337.1235,1,2015-09-09
5574.7847,1,2015-09-10
10301.492,1,2015-09-11
9064.291,1,2015-09-12
630.70087,1,2015-09-13
12881.883,1,2015-09-14
11914.0205,1,2015-09-15
12071.392,1,2015-09-16
12521.846,1,2015-09-17
4677.22,3,2015-08-01
263.11694,3,2015-08-02
10094.083,3,2015-08-03
10250.093,3,2015-08-04
9655.005,3,2015-08-05
9767.422,3,2015-08-06
9485.453,3,2015-08-07
5227.081,3,2015-08-08
410.13098,3,2015-08-09
7774.5933,3,2015-08-10
7749.89,3,2015-08-11
6616.168,3,2015-08-12
6766.0054,3,2015-08-13
7138.2065,3,2015-08-14
5738.2217,3,2015-08-15
446.87894,3,2015-08-16
7188.55,3,2015-08-17
8906.236,3,2015-08-18
7677.255,3,2015-08-19
6653.6265,3,2015-08-20
8218.097,3,2015-08-21
4849.3384,3,2015-08-22
283.18573,3,2015-08-23
7214.0703,3,2015-08-24
7537.2026,3,2015-08-25
5886.5923,3,2015-08-26
5558.8867,3,2015-08-27
7134.1006,3,2015-08-28
4671.752,3,2015-08-29
296.57602,3,2015-08-30
12675.633,3,2015-08-31
12829.411,3,2015-09-01
13028.231,3,2015-09-02
11701.344,3,2015-09-03
15355.959,3,2015-09-04
6654.2773,3,2015-09-05
113.5592,3,2015-09-06
8310.53,3,2015-09-07
7312.8315,3,2015-09-08
6996.019,3,2015-09-09
7937.5747,3,2015-09-10
8493.354,3,2015-09-11
7594.3813,3,2015-09-12
397.1172,3,2015-09-13
13004.976,3,2015-09-14
14081.195,3,2015-09-15
14437.753,3,2015-09-16
14040.826,3,2015-09-17
7667.0684,7,2015-08-01
647.1615,7,2015-08-02
15465.295,7,2015-08-03
15541.461,7,2015-08-04
14383.724,7,2015-08-05
14593.276,7,2015-08-06
14519.115,7,2015-08-07
8240.006,7,2015-08-08
513.874,7,2015-08-09
10171.821,7,2015-08-10
10116.75,7,2015-08-11
10255.099,7,2015-08-12
9620.226,7,2015-08-13
11386.987,7,2015-08-14
8318.255,7,2015-08-15
475.61688,7,2015-08-16
10480.312,7,2015-08-17
11226.998,7,2015-08-18
9697.559,7,2015-08-19
9644.594,7,2015-08-20
12478.975,7,2015-08-21
10184.372,7,2015-08-22
437.43808,7,2015-08-23
10111.2295,7,2015-08-24
10562.182,7,2015-08-25
9992.6,7,2015-08-26
9082.42,7,2015-08-27
11965.111,7,2015-08-28
6765.3643,7,2015-08-29
249.13083,7,2015-08-30
15166.022,7,2015-08-31
14784.4375,7,2015-09-01
13807.013,7,2015-09-02
13272.339,7,2015-09-03
18752.393,7,2015-09-04
8510.217,7,2015-09-05
177.79012,7,2015-09-06
9352.539,7,2015-09-07
